id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
586994,Polska,cieszyński,Goleszów,Puńców,Długa,46,43-400,d9d585b21c6eea0fe28dc679bd45d764b3be50a8
587010,Polska,cieszyński,Goleszów,Dzięgielów,"ks. Karola Kulisza",53,43-445,d49af261d87bbc03f205d3c1de268e0558ee3b85
588762,Polska,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"Józefa Piłsudskiego",12,43-300,a9a6218ec45b834e4fc0dcfeabacf7124541ebcc
588777,Polska,cieszyński,Ustroń,Ustroń,Lipowska,21E,43-450,01363a98bce428782cc1b57789a20ac8876a8700
591660,Polska,gliwicki,Sośnicowice,Sierakowice,Górna,8,44-156,77417fd2c6b77ddd413482fe49d0d225b7325543
592276,Polska,Zabrze,Zabrze,Zabrze,"gen. Józefa Hallera",47b,41-814,24877a4f3a256d681f8e272e57b5027e1c679a4b
592591,Polska,gliwicki,Sośnicowice,Bargłówka,Górna,6,44-153,c4265e935f6d2be8aa8800059bb0e6e2d557e028
592699,Polska,gliwicki,Sośnicowice,Kozłów,Ułańska,8,44-153,3f918e204b09683967988d0e795c680b34c7be35
592878,Polska,gliwicki,Sośnicowice,Sośnicowice,Graniczna,17,44-153,3805c3fa9669e853212fbdc29efc22121d657ea5
593903,Polska,gliwicki,Sośnicowice,Trachy,Nowowiejska,44,44-153,2c43140663a3c4380f1bdca15cda64f4e327816e
594315,Polska,gliwicki,Sośnicowice,Smolnica,Wiejska,103,44-153,dcde65faf7994e3358d3a790611d7aedff5b957e
594804,Polska,żywiecki,Gilowice,Gilowice,"Józefa Beriniego",6,34-322,0c45c5484a181811d290bb6b0b578d2dc7daeb91
595204,Polska,będziński,Wojkowice,Wojkowice,Głowackiego,60,42-580,49df30f4c156f45946dfb8a32246009df956fddf
595942,Polska,żywiecki,"Węgierska Górka",Żabnica,"ks. Karola Śmiecha",209A,34-350,e12cb9b3876748d761eb280864dae0bcf9b9fca5
596746,Polska,"Dąbrowa Górnicza","Dąbrowa Górnicza","Dąbrowa Górnicza",Duboisa,15,41-300,eead6c5758843ef9555774ce4888782a99618fa0
596874,Polska,"Dąbrowa Górnicza","Dąbrowa Górnicza","Dąbrowa Górnicza",Konopnickiej,128,41-300,1bee782a6132cc12758115b3ed760ffb8c1e3b18
597425,Polska,lubliniecki,Lubliniec,Lubliniec,Zachodnia,18A,42-700,2739e52b6854cbd6a23b5cc1f27dc28135b17151
598215,Polska,"Dąbrowa Górnicza","Dąbrowa Górnicza","Dąbrowa Górnicza",Majakowskiego,1,41-300,5189cb9fdc0ccb9f746043f2ed1c73cb3a01199b
598777,Polska,żywiecki,Żywiec,Żywiec,"Księdza Zdzisława Dzidka",26,34-300,d078b05ba55899e35dbf3fe3c05dba98e0805fe4
599637,Polska,Jaworzno,Jaworzno,Jaworzno,Filaretów,12A,43-600,7cd607a33b09df5f0ad4d2c4f50b11b8a264054c
599712,Polska,Jaworzno,Jaworzno,Jaworzno,"Gabriela Narutowicza",19,43-600,7bde24171505714e9e32c7e024ab7d1213a39bcd
600509,Polska,Jaworzno,Jaworzno,Jaworzno,Dworcowa,5,43-600,af119212dd8c6fdfb4fec16a603156a6b540ede4
601461,Polska,Jaworzno,Jaworzno,Jaworzno,"Jana Karola Chodkiewicza",25,43-600,55dffd2bb69f039e464690854785cd4ecd7795ee
602652,Polska,Jaworzno,Jaworzno,Jaworzno,Wiejska,72C,43-600,ab8de6f9d6a281b61130cb023f58d654e1b786f8
602928,Polska,Jaworzno,Jaworzno,Jaworzno,Wolna,4,43-600,caa9163fc9641602c88ca355e366932cb60b0d1e
603629,Polska,Jaworzno,Jaworzno,Jaworzno,Grzybowa,19,43-600,46ba389e88efd05895ff6d8bb3ae4edfc7a4b5bb
603862,Polska,Jaworzno,Jaworzno,Jaworzno,Gródek,19,43-600,871f6a8924ad7522398a046c66b1d300c0cf6716
604895,Polska,Jaworzno,Jaworzno,Jaworzno,"Ignacego Paderewskiego",7,43-600,e6c470bae39eb3e86ab2fa224ac745d28e5e3b5e
605572,Polska,Jaworzno,Jaworzno,Jaworzno,Ciasna,2,43-600,b24c43008bf01e60f4dc7660699fe0819219f3ee
606065,Polska,Jaworzno,Jaworzno,Jaworzno,"ks. Jana Sulińskiego",41,43-608,07898c074b24c2a336b81dc3a1fea5dcd31fb91a
606260,Polska,Jaworzno,Jaworzno,Jaworzno,"gen. Jakuba Jasińskiego",12,43-607,cb44979a4319dfbc6fa5c6c0d7482086070fc57e
606481,Polska,Jaworzno,Jaworzno,Jaworzno,Długoszyńska,24E,43-603,8707451894c69cc34cc9f1fb19bf1c569e75e807
606791,Polska,Jaworzno,Jaworzno,Jaworzno,Abstorskich,8,43-607,9465da1bbfbe6d1121390fb36f3ad406b8cfd7d2
607348,Polska,Jaworzno,Jaworzno,Jaworzno,Dąb,49A,43-608,abc7b1aea7136e99996d521cb3bed4755810a457
607423,Polska,Jaworzno,Jaworzno,Jaworzno,"Obrońców Poczty Gdańskiej",32,43-600,c42b816643c7fbf7b29f84dd995c86de5811955c
608011,Polska,myszkowski,Poraj,Poraj,Piaskowa,1A,42-360,c1b9f7ebecb155b7e98d5daa8feb8a6676aab3d0
608131,Polska,"Ruda Śląska","Ruda Śląska","RUDA ŚLĄSKA","Szczęść Boże",62G,41-700,338ef8b789b5be0392cfc274f36aceeca8208d12
609004,Polska,gliwicki,Pilchowice,Żernica,Brzozowa,12,00-000,8d177798934c91d89b772eb457caf543aa821b75
609762,Polska,gliwicki,Pilchowice,Żernica,Ogrodowa,32,00-000,a47c1c5ea97e3a08381151b690877b02ba073ccf
610067,Polska,gliwicki,Pilchowice,Pilchowice,Leśna,7,00-000,3c7c9b9567f7b04f7945e46b9d7caa65d83853b2
610209,Polska,gliwicki,Pilchowice,Żernica,Wrzosowa,11,44-144,e08b023c33015b1d537235e58e09474d51379fc8
610996,Polska,gliwicki,Pilchowice,Leboszowice,Gajowa,2,00-000,c6463decc928ed0505e87b72d41ca1f7042319a3
611453,Polska,gliwicki,Pilchowice,Pilchowice,Bierawka,35,44-145,ee449adecfb57c3d0cfca390e11891328467590b
612342,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE","JÓZEFA BEMA",3,41-106,20361a506aa60c71976f723db1f8b286bd5898b2
612500,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE",JAWOROWA,1,41-100,43d98dd1a12e7d33aff8cc1955d013370e65a17f
612865,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE","JANA PAWŁA II",17,41-100,1d7580410b46f465d1cfa0261fac106493a52751
613357,Polska,"Siemianowice Śląskie","Siemianowice Śląskie","SIEMIANOWICE ŚLĄSKIE","JAROSŁAWA DĄBROWSKIEGO",10,41-100,6f7342217e27a2e6afa1f67224b33d45b386d5e5
613629,Polska,Jaworzno,Jaworzno,Jaworzno,Długoszyńska,36B,43-603,da5388479f74904bc31501993f83f76cd26e3805
