id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
11064,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,"Bolesława Prusa",17,43230,ac3dc03aed477dd747fb044e2481c41e90280cb8
11141,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Szkolna,41,43230,912dfdc328dee162111cf428456eb71a618558c8
11187,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,"Wita Stwosza",10,43230,1fee623504a21ca4f8bc9e93ccea25a2c48155a3
11397,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Azaliowa,56,43230,4313012136e3eedeb8508bc7214323f42018240d
11863,Polska,będziński,Siewierz,Siewierz,Zielona,19,42470,d5c11bb13922c35877e2800cc8c342d101c71e36
11872,Polska,będziński,Siewierz,Brudzowice,Szkolna,116,42470,81f66d45b06dd5a1b46c4a2d34e6d8f009440f2a
11979,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,GAJOWA,18A,44280,ca0fc73e67e00b01194ee6eaf5f1cdb70cd56e04
12067,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,"BOLESŁAWA KRZYWOUSTEGO",8,44280,7ba783cdb64c2c78582111620ccf341fa12f34c4
12114,Polska,będziński,Siewierz,Siewierz,"Tadeusza Kościuszki",10,42470,fa6a8a6a82d6691e3ab70cc590e76996579629a7
12268,Polska,będziński,Siewierz,Siewierz,Długa,22,42470,a1cb589f437aecc86b612256e19aea8f491574a7
12366,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,KOCHANOWSKIEGO,70,44280,0aa588bccf47baf67bf91b184adb2c60b86ec6a4
12416,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,STRUGA,5,44280,9521e98d57ca89394e4990cb52af5e4ab83d5188
12473,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,"JANA III SOBIESKIEGO",5,44280,319148098073e2b2e3ed199542d3f29230a855ae
12484,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,BARWNA,23A,44280,83d1f75ce96480272577ca6014455e2a9ad45960
12504,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,NARUTOWICZA,61,44280,95e2fc7df0f02e5c5273fb6b6fd9dff9ed641df0
12815,Polska,będziński,Siewierz,Żelisławice,Zarzecze,9,42470,45f6dd54b8176c823b266820022a74a93a23e1dc
12857,Polska,będziński,Siewierz,Leśniaki,,70,42470,c961ee82935655b6d7ebd27863a1fd2733e2413f
13090,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,PRZERWY-TETMAJERA,87,44280,73b13174f0696ef75aad88e267ce087ba23c0d2c
13136,Polska,będziński,Siewierz,"Wojkowice Kościelne",Dąbrowska,9,42510,17cb0dd5f4123a26efe2f965ef928fc21cdc0bdc
13344,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,KRZYŻKOWICKA,55,44280,654b95fce9c9c0c322737987ee754ede62d10e1b
13645,Polska,będziński,Siewierz,Brudzowice,Jagodowa,11,42470,efe7f7099ff45dac836491a78c8c22eb6d3a3eeb
13651,Polska,będziński,Siewierz,Warężyn,,60,42510,485d38399b45e9cec9dc92987f63828fcb48e631
13713,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,KAZIMIERZA,10,44280,0b2fb147369bcfee5ad4c859b56fd6da13214781
13808,Polska,będziński,Siewierz,Siewierz,Rzeczna,5a,42470,7ba934a4097328bab96eb952828f3e8523f13608
13868,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,BARCIOKA,12,44280,6c15ebb58fd62628b63d3be1c12712f0634031b0
13983,Polska,będziński,Siewierz,Podwarpie,,66a,42510,4a5c7c37388abf172a7ada8d1062d73a9baf102a
14039,Polska,cieszyński,Ustroń,Ustroń,Folwarczna,10,43450,11b1284798063eed724f7f332f7501930d0622d5
14113,Polska,będziński,Siewierz,Podwarpie,,48a,42510,2a0ab1bbb3eba6dc08cc492db3e35283f40847ec
14394,Polska,będziński,Będzin,Będzin,Podskarpie,75,42500,8720c32cd47e5158b7549f9c69292db31963e4ba
